Name,Context,Entities
Backend Developer.docx,"Backend Developer - Python/Django



We are looking for Python/Django developers with 2-4 + years of experience to be part of our growing team. The role is of Python/Django Backend Web Developer who can handle the challenging work of Web applications development using Python / Django framework.

Required Skills:

Strong working knowledge of constructs of HTTP, RESTful APIs and WebSockets.

Build and maintain highly scalable Python processes for the purpose of data collection, manipulation, data pruning, trending and analytics, etc.

Strong understanding of Python and good knowledge of various Python Libraries (NumPy, Pandas, ORM libraries etc.), API's and toolkits

Able to integrate multiple data sources and databases into one system

Working knowledge of web templating engine for python such as Jinja2 etc

Ability to integrate user-facing elements developed by front-end developers with server-side logic.

Ability to integrate data storage solutions and caches.

Understanding of the threading limitations of Python, and multi-process architecture

Understanding of fundamental design principles behind a scalable application

Good understanding of event-driven programming in Python

Good knowledge of PostGRESQL

Able to create database schemas that represent and support business processes

Strong Analytical, Problem Solving & Innovative Skills.

Working knowledge of version control tools (GIT/SVN).

Experience/knowledge of working on the LINUX environment.

Attention to detail, problem-solver with strong analytical skill, good sense of urgency

Ability to carry out tasks without supervision and able to meet tight deadlines

Good Writing & Communication Skills. The candidate should be able to communicate with potential Clients and gather inputs/change requests.

Work with a performance oriented team driven by ownership and open to experiments

Strong interpersonal skills with excellent written and verbal communication

Responsibilities:

Develop back-end components to improve responsiveness and overall performance

Designing and implementing system architecture to handle scale

Coordinate with Frontend Dev team & Creating APIs (w/ DjangoRestFramework)

Integrating of web pages with Backend using templating engines for Python

Build bulletproof API integrations with third party APIs for various use cases

Good to have (Additional Skills):

Relevant full stack experience.

You've worked with core AWS services in the past and have experience with EC2, ELB, AutoScaling, CloudFront, S3

Demonstrable work/project portfolio online.

Working knowledge of front end technologies like Javascript, JQuery, HTML, and CSS

A good sense of design and aesthetics.

Experience/Zeal to work in a fast-paced startup environment.

Candidates who can join immediately will be preferredDevelop very high sense of ownership, the zeal to build scalable applications

Job Type: Full-time

Salary: 35,000.00 - 55,000.00 per month

Experience:

Django Development: 1 year (Preferred)

total work: 2 years (Preferred)

Education:

Bachelor's (Preferred)

Work Remotely:

Temporarily due to COVID-19","PYTHON,DJANGO,HTTP,NUMPY,PANDAS,PYTHON,JINJA2,POSTGRESQL,LINUX,DJANGORESTFRAMEWORK,EC2,ELB,AUTOSCALING,CLOUDFRONT,S3,JAVASCRIPT,JQUERY,HTML,CSS"
Billing cum Logistics Manager.docx,"Billing cum Logistics Manager

Job Summary
Urgent requirement of Billing cum Logistics Manager for Ecommerce Company
Locatio - Gurgaon
Company profile : detel-india.com
Responsibilities and Duties
Total Billing Monitor & Controlling
Invoice validation before sending to Customer with Accuracy
E-Commerce Billing, Monthly Fixed and Variable Billing.
Follow up & Clearance from Operation for specific Remarks in PODs (Shortages/Damages Etc)
Deductions booking off
Proper Documentation (Invoices/PODs Etc)
Reconciliation:
POD Reconciliation (Damages/Shortages/Other Remarks) & Resolution
Deductions Reconciliation & Recovery Preparation
Pending POD Controlling & Monitor",NAN
Data Scientist.docx,"Data Scientist/ ML Engineer

Game Change Solutions

-

Gurgaon, Haryana

Temporarily remote

20,00,000 - 25,00,000 a year

We are looking for a data scientist that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products. Data Scientist at GameChange must be an energetic self-starter who can quickly grasp the companys vision, develop specific tactical plans, and begin implementation upon appropriate approvals. The candidate must be resourceful and able to deliver on a plan defined.

Responsibilities 

Data Crunching and data massaging on structured and unstructured data including Numerical, Text,

Audio and Video data

Implementation/fine-tuning of machine learning algorithms

Conducting Data science/machine learning experiments and presenting insights

Building innovative data products using cutting edge tools and technologies

Conduct data analysis independently or with limited supervision to generate business insights

Conduct diagnostic on the data to identify the improvement opportunities, design data-backed

performance improvement strategy, liaise with internal teams

Record keeping and data warehousing to enable Advanced Analytics operations for generating

meaningful business insights

Develop high quality client deliverables such as R models, Python scripts etc.

Skills required -

Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes,

SVM, Decision Forests, CNN, RNN, LSTM etc.

Experience with common data science toolkits, such as R, Weka, NumPy, OpenCV, MatLab, etc.

Great communication skills

Experience with data visualisation tools, such as D3.js, GGplot, etc.

Proficiency in using query languages such as SQL, Hive, Pig

Experience with NoSQL databases, such as MongoDB, Cassandra, HBase

Good applied statistics skills, such as distributions, statistical testing, regression, etc.

Good scripting and programming skills

Job Type: Full-time

Salary: 2,000,000.00 - 2,500,000.00 per year

Experience:

Data Science: 2 years (Preferred)

work: 1 year (Preferred)

Education:

Bachelor's (Preferred)","PYTHON,K,SVM,DECISION,RNN,LSTM,R,WEKA,NUMPY,OPENCV,MATLAB,D3JS,GGPLOT,SQL,HIVE,PIG,NOSQL,MONGODB,CASSANDRA,HBASE"
Data Scientist.pdf,"Data Scientist/ ML Engineer
Game Change Solutions
Gurgaon, Haryana
Temporarily remote
20,00,000 - 25,00,000 a year
We are looking for a data scientist that will help us discover the information hidden in vast
amounts of data and help us make smarter decisions to deliver even better products. Your
primary focus will be in applying data mining techniques, doing statistical analysis, and
building high quality prediction systems integrated with our products. Data Scientist at
GameChange must be an energetic self-starter who can quickly grasp the companys vision,
develop specific tactical plans, and begin implementation upon appropriate approvals. The
candidate must be resourceful and able to deliver on a plan defined.
Responsibilities 


Data Crunching and data massaging on structured and unstructured data including
Numerical, Text,

Audio and Video data






Implementation/fine-tuning of machine learning algorithms
Conducting Data science/machine learning experiments and presenting insights
Building innovative data products using cutting edge tools and technologies
Conduct data analysis independently or with limited supervision to generate business
insights
Conduct diagnostic on the data to identify the improvement opportunities, design
data-backed

performance improvement strategy, liaise with internal teams


Record keeping and data warehousing to enable Advanced Analytics operations for
generating

meaningful business insights


Develop high quality client deliverables such as R models, Python scripts etc.

Skills required 

Excellent understanding of machine learning techniques and algorithms, such as kNN, Naive Bayes,

SVM, Decision Forests, CNN, RNN, LSTM etc.


Experience with common data science toolkits, such as R, Weka, NumPy, OpenCV,
MatLab, etc.








Great communication skills
Experience with data visualisation tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills

Job Type: Full-time
Salary: 2,000,000.00 - 2,500,000.00 per year
Experience:



Data Science: 2 years (Preferred)
work: 1 year (Preferred)

Education:


Bachelor's (Preferred)

","PYTHON,KNN,NAIVE,SVM,DECISION,RNN,LSTM,R,WEKA,NUMPY,OPENCV,MATLAB,D3JS,GGPLOT,SQL,HIVE,PIG,NOSQL,MONGODB,CASSANDRA,HBASE"
Director of Engineering.docx,"Director of Engineering, Google CloudDirector of Engineering, Google Cloud

Minimum qualifications:



Bachelor's degree in Computer Science or equivalent practical experience.

10 years of experience in networking, distributed systems, and programming languages.

10 years of experience managing diverse engineering teams.

Preferred qualifications:



Advanced business or technical degree.

Measurable track record in creating, executing and delivering a technical vision.

In-depth experience operating within and leading cross-functional teams.

Effective product sensibility, with capability to advocate and drive key product innovations or opportunities with the developer community.

Excellent written and verbal communication skills in English with the ability to represent and advocate complex technical concepts.

Demonstrated passion for and thought leadership within networking, programming languages and distributed systems.

About the job

As the Director of Engineering, you will bring your technical and engineering management skills to ensure evolution and success of communication frameworks, including next-generation imperative programming development environments and transformative high-performance RPC systems.



You will manage and grow a team of engineering managers and technical leads, while also managing and driving the vision and strategy for these frameworks. You will partner with technical leaders in your team and in customer teams, such as Search, Ads and Youtube, and drive adoption of new communications frameworks across Google.



Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Googles cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems.



Responsibilities

Serve as one of the primary points of contact for key customers at Google, defining product and adoption strategies and executing plans.

Collaborate with developers across Google to drive developer productivity and efficiency of communication stacks.

Track, understand, and interpret key usage and efficiency metrics to understand the current state and to ultimately make impactful data-driven technical and business decisions.

Manage, lead, and grow a team of technical leaders and engineering managers to achieve goals. Work with cross-functional teams to improve developer productivity and efficiency of communications stack.

Create, communicate and advocate a strategy for bringing Googles innovations to Google Cloud and the rest of the industry.",NAN
Global Industry Content Manager.docx,"Global Industry Content Manager

Minimum qualifications:

Bachelor's degree or equivalent practical experience

10 years of work experience in product management, product marketing, or equivalent experience in the enterprise software technology industry in Telco

Experience working with global cross-functional teams

Preferred qualifications:

Experience with Cloud solutions, including their application to solving customer business problems

Expertise in cloud technology and/or demonstrated proficiency with cloud messaging and productivity tools

Ability to take complex business challenges and/or solutions and structure them in a way that is simple and meaningful for a specific audience

Comfortable working in a fast growing, dynamic and often ambiguous environment across multiple time zones

Excellent verbal and written communications skills, with awareness of cross-cultural, cross-audience, multimedia and data-driven communications

About the job

Google is developing groundbreaking cloud solutions for companies, leveraging years of experience in building secure, reliable, and scalable cloud technology. With excellent Google differentiation in data analytics and machine learning, security, application development and collaboration software, were well on our way -- but we need more people who can help us write and tell that story. If youre as excited about building whats next as we are, Google Cloud is the place for you.

As a Global Industry Content Manager, you will be responsible for positioning our solutions in the context of industry-specific challenges faced by customers and empowering our sellers to have business value conversations. You will partner closely with the Global Solutions Leadership Team and Sales Enablement to develop content to support Google Clouds industry solutions roadmap and roll out industry-specific enablement programs to field sellers.

In this role, you will ensure sellers are equipped to speak the language of their customers, be focused on the business outcomes of the customer base and have the highest priority at executive levels. A pivot to Industry Solutions and Value Selling is a key focus for Google Cloud and you will play a critical role in this journey.

Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Googles cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems.

Responsibilities

Partner with Global Industry Solutions Leaders and Value Engineering to define an Industry Bill of Materials based on industry solutions roadmap.

Develop customer-facing content, positioning the value of Google Cloud to solve industry-specific challenges.

Deliver industry news, insights and implications to shape industry narratives and educate vertical communities.

Collaborate with Sales and Partner Enablement teams to activate and train sellers and partners on industry content across a variety of channels (e-learning modules, in-person training).

Manage industry portals to deliver content and industry community engagement for sellers and external partners.","GOOGLE CLOUD,CLOUDS"
GMIT-FX-Java-Developer-DJ.pdf,"Nomura Overview:
Nomura is an Asia-headquartered financial services group with an integrated global network spanning
over 30 countries. By connecting markets East & West, Nomura services the needs of individuals,
institutions, corporates and governments through its four business divisions: Retail, Asset Management,
Wholesale (Global Markets and Investment Banking), and Merchant Banking. Founded in 1925, the
firm is built on a tradition of disciplined entrepreneurship, serving clients with creative solutions and
considered thought leadership. For further information about Nomura, visit www.nomura.com.
Nomura Services India, (Powai) supports Nomuras businesses around the world. Powais world class
capabilities in trading support, research, information technology, financial control, operations, risk
management and legal support have played a key role in facilitating Nomuras global operations and
are an integral part of Nomuras global expansion plans. The Powai operation is a critical part of the
platform to support the growth of Nomuras global business.
Divisional Overview:
Business Unit Overview:
Guidelines:




Relevant experience
Minimum career break of 2yrs
No of Positions : 1

Role & Responsibilities:





Will be part of global FX trading technology team.
Design and Development of Trade capture server-side application used by the front office FX desk.
Existing application written in Java, Drool Engine, Tibco EMS, Solace technologies needs a
redesign.
We are looking for a hands-on technologist with solid server side development skills using Core
Java.



Strong developer skills in Core Java, Spring, Spring Boot





Candidate should follow and implement TDD
Candidate should be a quick to understand the existing code and architecture
Strong Object Oriented Concepts and Design principles



Good understanding of SQL and relational database






Experience with Java Performance and Profiling tools
Must be a team player with prior experience in working in a global development team
Good to have prior hands-on experience on multi-threading
Strong database skills, preferably SQL server and MySQL or any similar RDBMS



Experience with tools like Gradle, Jenkins, Git, Ansible will be good to have



Prior experience in building and deploying apps with full test coverage and continuous integration
will be an added advantage.



Candidate should be a quick learner. Should have demonstrated in the past quick learning
capabilities

Mind set required:












Strong listening, problem solving, analytical skills and excellent communication skills (both spoken
and written English)
Strong problem solving and analytical skills needed to solve business and technical issues to the
best possible extent
Strong work discipline - resilient and eager to be challenged
Completer finisher, Adaptable, Business focused
Self-starter with proven ability to research and absorb fine detail in use cases and peculiarities of
market and exchange behavior
Organized, results focused, practical
Excellent communication skills
Team Player with ability to co-ordinate with various stakeholders (local and global)
Ability and readiness to drive change
Good creativity and lateral thinking skills
Needs to be independent in end-to-end execution of projects and should be a mentor to junior
members in the team both on technology and domain

","JAVA,COREJAVA,SPRING,SQL,MYSQL,GRADLE,JENKINS,GIT,ANSIBLE"
GMIT-Java-Developer-JD.pdf,"GMIT: Java Developer
Nomura Overview:
Nomura is an Asia-based financial services group with an integrated global network spanning over 30
countries. By connecting markets East & West, Nomura services the needs of individuals, institutions,
corporates and governments through its three business divisions: Retail, Asset Management, and
Wholesale (Global Markets and Investment Banking). Founded in 1925, the firm is built on a tradition
of disciplined entrepreneurship, serving clients with creative solutions and considered thought
leadership. For further information about Nomura, visit www.nomura.com.
Nomura Services India, (Powai) supports Nomuras businesses around the world. Powai s world class
capabilities in trading support, research, information technology, financial control, operations, risk
management and legal support have played a key role in facilitating Nomuras global operations and are
an integral part of Nomuras global expansion plans. The Powai operation is a critical part of the platform
to support the growth of Nomuras global business.
Business Unit Overview:
Global Markets Technology builds and maintains software solutions used by Global Markets Front and Middle
office businesses. The business is spread across EMEA, US, Japan, AEJ, and emerging Markets like India,
Brazil, and China. It deals in wide range of products including FX, Rates, Credit, Securitized Products,
Equities, Futures & Options, FI/EQ Derivatives, and Prime Services including financing.
GMIT India team is an integral part of the global team, which is spread across US, UK, Tokyo, Singapore,
HK, India and China. It works in partnership with the regions to deliver technology solutions to GM business
across regions prioritized in Global Book of Work. This team serves key business functions such as Pricing,
Sales & Research (Pre-Trade), Electronic Trading, Client & Exchange Connectivity (Trading related), Trade
Capture & Workflow, Trade Life Cycle Management (Post-Trade), MIS (pre and post trade analysis), Position,
Risk Management and P&L (real-time, intraday and EOD), Interfaces to Corporate Settlement, Risk and
Finance systems.
Guidelines:
 Relevant experience of 5yrs
 Minimum career break of 2yrs
Job Description
Hands on Core Java / J2EE Developer & good understanding of relational database ,

Roles & Responsibilities:


A strong Java developer contributing to a complex front-office electronic trading business.



Contribute with clean, test-driven code adhering to the design and architecture of the product. Strong
knowledge of unit test and mocking frameworks.



Work independently with minimal help. Should be a quick learner.





A strong & consistent focus on automation of the development and delivery pipelines.
Agile mindset & a strong bias for action. Demonstrate and document stories delivered in each sprint.



Design and development of medium to large-scale application components in Java.



Understand the current application, and contribute towards development tasks.



Enhance and customize the applications as needed.



Collaborate with a team of developers or work independently as the situation demands.

Mindset required:


Strong developer skills in Core Java, Spring, Spring Boot



Strong Object Oriented Concepts and Design principles.



Strong database skills, preferably SQL server and MySQL or any similar RDBMS



Experience in JavaScript based front end experience will be an added advantage



Experience with tools like Gradle, Jenkins, Git, Ansible will be good to have



Prior experience in building and deploying apps with full test coverage and continuous integration will be
an added advantage.



Candidate should be a quick learner and should be able to work with minimal supervision.



Strong listening, problem solving, analytical skills.



Excellent written and verbal communication.

Technical Skillset

Level Required

Core Java, Spring

Expert

SQL Server/ MySQL or Similar RDBMS

Expert

Gradle / Jenkins / Git

Good to have

Modern Javascript (ReactJS/Angular)

Good to have

","JAVA,J2EE,SPRING,SQL,MYSQL,JAVASCRIPT,GRADLE,JENKINS,GIT,SPRINGEXPERT,SQL SERVER,JAVASCRIPT,REACTJS,ANGULAR"
GMIT-Prime-Technology-Java-Developer-JD.pdf,"GMIT: Java Developer

Nomura Overview:
Nomura is an Asia-headquartered financial services group with an integrated global network spanning over
30 countries. By connecting markets East & West, Nomura services the needs of individuals, institutions,
corporates and governments through its four business divisions: Retail, Asset Management, Wholesale
(Global Markets and Investment Banking), and Merchant Banking. Founded in 1925, the firm is built on a
tradition of disciplined entrepreneurship, serving clients with creative solutions and considered t hought
leadership. For further information about Nomura, visit www.nomura.com
Nomura Services India, (Powai) supports Nomuras businesses around the world. Powai s world class
capabilities in trading support, research, information technology, financial control, operations, risk
management and legal support have played a key role in facilitating Nomuras global operations and are
an integral part of Nomuras global expansion plans. The Powai operation is a critical part of the platform
to support the growth of Nomuras global business.

Business Unit Overview:
Global Markets Technology builds and maintains software solutions used by Global Markets Front and
Middle office businesses. The business is spread across EMEA, US, Japan, AEJ, and emerging Markets
like India, Brazil, and China. It deals in wide range of products including FX, Rates, Credit, Securitized
Products, Equities, Futures & Options, FI/EQ Derivatives, and Prime Services including financing.
GMIT India team is an integral part of the global team, which is spread across US, UK, Tokyo, Singapore,
HK, India and China. It works in partnership with the regions to deliver technology solutions to GM business
across regions prioritized in Global Book of Work. This team serves key business functions such as Pricing,
Sales & Research (Pre-Trade), Electronic Trading, Client & Exchange Connectivity (Trading related), Trade
Capture & Workflow, Trade Life Cycle Management (Post-Trade), MIS (pre and post trade analysis),
Position, Risk Management and P&L (real-time, intraday and EOD), Interfaces to Corporate Settlement,
Risk and Finance systems.

Position Specifications:
Corporate Title
Functional Title
Experience
Qualification

Analyst /Associate
Senior Developer / Lead Developer
5 to 8 Years
B.E / B.Tech / MCA / M.Tech/ MBA

Guidelines:



Relevant experience of 5yrs
Minimum career break of 2yrs

Roles & Responsibilities:







Design and develop large, complex Java/J2EE based applications
Own critical components of applications and participate in hands-on development
Expected to work with development and support team members across different regions
Regular interaction (in person, email and over phone) with business/users/vendors/QA and
technical stake holders locally and globally for status update, requirement discussions, discussions
around solution/approach etc.
Integration with best in class monitoring and support tools for quicker troubleshooting of issues.
Support resolution of production and user issues, application testing and maintenance releases.








Partner with QA teams for unit and integration testing of the deliverables and automate those.
Provide regular updates regarding status or progress made to managers and stakeholders.
Gain understanding of various applications and systems being developed by the group
Understand and follow organizational, team level processes and best practices
Deliver high quality change within the deadlines
Provide Level 3 support and Propose and implement strategic/tactical solutions to critical
business/technical problems after discussion with senior members of the team

Primary skills:














Relevant hands-on experience of 3-8 years
Solid understanding of Core Java and J2EE Technologies
Good experience on Multi-threading and Collections
Good experience in Spring, Spring boot, Spring Integration/Apache Camel
Good knowledge of Architecture and Design principles and their application.
Good understanding of OOPS concepts
Experience of Middleware technologies Tibco EMS and JMS
Experience in Performance analysis and tuning of application
Strong SQL and RDBMS knowledge (preferably Sybase or Oracle)
Experience in DevOps tools and technologies (Git, Maven, Jenkins, Ansible, Test automation etc.)
Must be a team player with prior experience in working in a global development team
Candidate should be a quick learner. Willing to learn new technologies / tools as required, in order
to effectively deliver output. Should have demonstrated in the past quick learning capabilities
Strong problem solving and analytical skills & excellent communication skills (spoken and written
English and listening skills)

Secondary skills:







Good understanding of ORM technologies like Hibernate and JPA
Experience in Distributed and Micro-Services Architecture
Experience working on Containerization and Orchestration using Docker, Kubernetes etc.
Good to have knowledge on AWS Cloud Hosting and understanding of various services (VPC, EC2,
S3, IAM, Lambda etc.)
Knowledge of ReactJS
Knowledge of Capital Markets, Investment banking and Prime Brokerage

","JAVA,JAVAJ2EE,CORE,J2EE,SPRING,JMS,SQL,SYBASE,DEVOPS,GIT,MAVEN,JENKINS,ANSIBLE,HIBERNATE,JPA,DOCKER,KUBERNETES,VPC,EC2,S3,IAM,LAMBDA,REACTJS"
GMIT-Prime-Technology-QA-JD.pdf,"GMIT: Quality Analyst

Nomura Overview:
Nomura is an Asia-headquartered financial services group with an integrated global network spanning over
30 countries. By connecting markets East & West, Nomura services the needs of individuals, institutions,
corporates and governments through its four business divisions: Retail, Asset Management, Wholesale
(Global Markets and Investment Banking), and Merchant Banking. Founded in 1925, the firm is built on a
tradition of disciplined entrepreneurship, serving clients with creative solutions and considered t hought
leadership. For further information about Nomura, visit www.nomura.com
Nomura Services India, (Powai) supports Nomuras businesses around the world. Powai s world class
capabilities in trading support, research, information technology, financial control, operations, risk
management and legal support have played a key role in facilitating Nomuras global operations and are
an integral part of Nomuras global expansion plans. The Powai operation is a critical part of the platform
to support the growth of Nomuras global business.

Business Unit Overview:
Global Markets Technology builds and maintains software solutions used by Global Markets Front and
Middle office businesses. The business is spread across EMEA, US, Japan, AEJ, and emerging Markets
like India, Brazil, and China. It deals in wide range of products including FX, Rates, Credit, Securitized
Products, Equities, Futures & Options, FI/EQ Derivatives, and Prime Services including financing.
GMIT India team is an integral part of the global team, which is spread across US, UK, Tokyo, Singapore,
HK, India and China. It works in partnership with the regions to deliver technology solutions to GM business
across regions prioritized in Global Book of Work. This team serves key business functions such as Pricing,
Sales & Research (Pre-Trade), Electronic Trading, Client & Exchange Connectivity (Trading related), Trade
Capture & Workflow, Trade Life Cycle Management (Post-Trade), MIS (pre and post trade analysis),
Position, Risk Management and P&L (real-time, intraday and EOD), Interfaces to Corporate Settlement,
Risk and Finance systems.

Position Specifications:
Corporate Title
Functional Title
Experience
Qualification

Analyst /Associate
Senior Quality Analyst / Lead Quality Analyst
5 to 8 Years
B.E / B.Tech / MCA / M.Tech/ MBA

Guidelines:



Relevant experience of 5yrs
Minimum career break of 2yrs

Roles & Responsibilities:







Creation and execution of test plans and test cases based on business requirements, functional and
technical specifications.
Automation of regression packs by using standard automation tools/framework.
Strong Focus on DevOps and Shift Left Testing Principals to improve efficiency and effectiveness.
Provide intelligent time estimates for test planning and execution during Sprint Planning/Release
Testing.
Partner with Onsite Stakeholders for confirmation of testing approach.
Execution of test plans in accordance with the project schedule.







Maintain existing test plans and test cases based on code changes and enhancements.
Track issues and work with project managers and development team to resolve issues.
Participate in JIRA review meetings during test cycles.
Participate in project health checks and proactively identify any risk for key Business Deliverables.
Use QA standard process for Testing Life Cycle.

Skill set:














Overall 4  8 years of QA testing experience
Experience level of at least 3 -5 years in test automation including hands on in designing,
developing Test Automation Frameworks using Open Source, Services Automation.
Testing : Black Box Testing , Performance Testing
Test Tools : Selenium
Test Framework : Cucumber (BDD) , Test NG , Page Object Model
Dev Ops  GIT, Jenkins, SonarQube (exposure)
Test Management  JIRA, Zephyr
Technologies  Java, HTML, CSS, Oracle, Unix, Python/Scripting language (exposure), REST
services
Experience in functional testing preferably IB domain. Should be able to execute test scenarios
manually, identify bugs/ issues and report them.
Knowledge of Capital Markets, Investment Banking and Prime Brokerage domain is preferred
Knowledge of Agile methodology is preferred
Experience of working in a team-oriented, collaborative and global environment
Good Analytical, Verbal and Written skills

","JIRA,SELENIUM,DEV OPS,GIT,JENKINS,SONARQUBE,JAVA,HTML,CSS,ORACLE,UNIX,PYTHON"
HTML Developer.docx,"HTML Developer

Slidesigma India LLC is a web design and development company based in South Delhi. Due to the active COVID-19 crisis, we are working remotely. We are looking for an HTML developer with up to 3 years of experience. You are expected to work full-time and will be collaborating with our team and supervisors virtually.

Years of Experience:

3 years experience

Language:

Must speak English well

Duties and Requirements

- Writes flawless code

- Proficient with HTML, HTML5, CSS and CSS3

- Converting PSD to HTML

- Other basic duties and research as required

Working days and times:

Monday - Saturday, 10:00 a.m. - 6:00 p.m.

Contract length: 12 months

Job Types: Full-time, Contract

Salary: Up to 17,000.00 per month

Experience:

CSS/CSS3: 3 years (Required)

work: 3 years (Required)

total work: 3 years (Required)

Education:

Bachelor's (Required)

Language:

English (Preferred)

Programming Languages needed:

CSS (Required)","HTML,HTML5,CSS,CSS3,CSSCSS3"
